Nome: PALMAS;;;;;
Codigo Estacao: A009;;;;;
Latitude: -10.14777777;;;;;
Longitude: -48.31444444;;;;;
Altitude: 267;;;;;
Situacao: Operante;;;;;
Data Inicial: 2020-01-01;;;;;
Data Final: 2023-01-31;;;;;
Periodicidade da Medicao: Diaria;;;;;
;;;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);;;;
31/12/2021;51,4;;;;
01/01/2022;3,2;;;;
02/01/2022;10;;;;
03/01/2022;5,8;;;;
04/01/2022;0,2;;;;
05/01/2022;7;;;;
06/01/2022;11,2;;;;
07/01/2022;0,2;;;;
08/01/2022;6,8;;;;
09/01/2022;10,4;;;;
10/01/2022;21,6;;;;
11/01/2022;4,6;;;;
12/01/2022;21;;;;
13/01/2022;11,6;;;;
14/01/2022;0;;;;
15/01/2022;8,8;;;;
16/01/2022;0;;;;
17/01/2022;0;;;;
18/01/2022;4,8;;;;
19/01/2022;23,8;;;;
20/01/2022;0,2;;;;
21/01/2022;0;;;;
22/01/2022;2;;;;
23/01/2022;0,2;;;;
24/01/2022;4,8;;;;
25/01/2022;64,4;;;;
26/01/2022;1,6;;;;
27/01/2022;1,4;;;;
28/01/2022;0,2;;;;
29/01/2022;0;;;;
30/01/2022;0;;;;
31/01/2022;3,6;;;;
01/02/2022;0;;;;
02/02/2022;14,4;;;;
03/02/2022;11,2;;;;
04/02/2022;4,2;;;;
05/02/2022;0;;;;
06/02/2022;59,4;;;;
07/02/2022;16,6;;;;
08/02/2022;0;;;;
09/02/2022;0;;;;
10/02/2022;6,8;;;;
11/02/2022;0,4;;;;
12/02/2022;45;;;;
13/02/2022;71,2;;;;
14/02/2022;12;;;;
15/02/2022;0;;;;
16/02/2022;13,4;;;;
17/02/2022;0,4;;;;
18/02/2022;9,4;;;;
19/02/2022;14,8;;;;
20/02/2022;5,8;;;;
21/02/2022;13;;;;
22/02/2022;1,8;;;;
23/02/2022;13,4;;;;
24/02/2022;2,4;;;;
25/02/2022;0,2;;;;
26/02/2022;9,6;;;;
27/02/2022;0,2;;;;
28/02/2022;0;;;;
01/03/2022;31,2;;;;
02/03/2022;14;;;;
03/03/2022;43,4;;;;
04/03/2022;2;;;;
05/03/2022;2,8;;;;
06/03/2022;0,2;;;;
07/03/2022;34,2;;;;
08/03/2022;30,4;;;;
09/03/2022;31,4;;;;
10/03/2022;1,4;;;;
11/03/2022;12,4;;;;
12/03/2022;0;;;;
13/03/2022;0;;;;
14/03/2022;0;;;;
15/03/2022;55;;;;
16/03/2022;2,8;;;;
17/03/2022;2,8;;;;
18/03/2022;0,2;;;;
19/03/2022;20;;;;
20/03/2022;7,8;;;;
21/03/2022;6,6;;;;
22/03/2022;2;;;;
23/03/2022;0;;;;
24/03/2022;2,6;;;;
25/03/2022;44,4;;;;
26/03/2022;29,2;;;;
27/03/2022;0;;;;
28/03/2022;11,2;;;;
29/03/2022;41,2;;;;
30/03/2022;6,6;;;;
31/03/2022;0;;;;
01/04/2022;0,2;;;;
02/04/2022;0;;;;
03/04/2022;0;;;;
04/04/2022;0;;;;
05/04/2022;0;;;;
06/04/2022;1;;;;
07/04/2022;2,2;;;;
08/04/2022;0;;;;
09/04/2022;0;;;;
10/04/2022;3,2;;;;
11/04/2022;0,2;;;;
12/04/2022;0;;;;
13/04/2022;15,4;;;;
14/04/2022;0;;;;
15/04/2022;4;;;;
16/04/2022;0,2;;;;
17/04/2022;7,8;;;;
18/04/2022;0;;;;
19/04/2022;41,8;;;;
20/04/2022;0,6;;;;
21/04/2022;17,8;;;;
22/04/2022;0,2;;;;
23/04/2022;4,2;;;;
24/04/2022;0,2;;;;
